Data;Nível (cm)
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;547             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;547             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;548             
01/11/2018;549             
01/11/2018;547             
01/11/2018;548             
01/11/2018;548             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;547             
01/11/2018;546             
01/11/2018;547             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;547             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;547             
01/11/2018;547             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;545             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
01/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;546             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;546             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;544             
02/11/2018;544             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
02/11/2018;545             
